cuadrante,angulo_deg,errR_cordic_ulp,errR_ref_ulp,errPhi_cordic_ulp,errPhi_ref_ulp
2,93.555,1,1,0,0
2,123.045,1,0,0,0
2,131.976,1,0,1,0
2,104.640,0,1,1,0
2,153.904,1,0,1,0
2,91.665,2,0,2,1
2,142.569,1,1,1,0
2,162.583,0,1,1,0
2,157.597,0,0,1,0
2,107.838,1,0,0,0
2,128.209,0,1,0,0
2,164.314,1,0,0,0
2,110.769,1,1,2,0
2,109.722,0,1,1,0
2,178.283,1,0,0,0
2,128.240,1,0,1,0
2,153.043,1,0,0,0
2,146.381,1,1,2,0
2,174.417,0,0,2,0
2,99.076,1,0,0,0
2,156.039,0,1,1,0
2,97.935,1,0,0,0
2,145.753,1,1,1,0
2,106.146,0,0,2,0
2,107.658,1,0,1,0
2,177.504,1,0,1,0
2,176.448,1,0,1,0
2,171.403,1,0,1,0
2,116.265,1,0,1,0
2,91.838,2,0,1,0
2,169.034,0,0,0,0
2,133.957,1,0,1,0
2,160.813,1,0,2,0
2,176.329,0,1,0,0
2,144.551,1,1,1,0
2,172.903,1,0,2,0
2,119.709,1,0,0,0
2,151.017,0,0,2,0
2,121.442,1,0,0,0
2,137.235,1,1,1,0
2,99.649,2,0,0,0
2,94.276,3,0,1,0
2,97.182,0,0,0,0
2,140.665,1,0,0,0
2,147.801,0,0,1,0
2,131.213,2,0,1,0
2,92.933,3,0,1,0
2,102.823,2,0,3,0
2,99.085,2,0,1,0
2,113.436,2,0,1,0
2,156.907,1,1,0,0
2,143.971,0,0,1,0
2,175.822,1,0,0,0
2,154.116,1,0,2,0
2,132.429,0,0,2,0
2,169.905,0,0,1,0
2,126.203,0,0,3,0
2,165.663,0,0,1,0
2,134.029,1,0,2,0
2,129.590,1,0,0,0
2,142.776,1,0,2,0
2,133.491,1,1,3,0
2,174.199,1,0,0,0
2,93.997,0,0,2,0
2,103.346,2,0,1,0
2,136.880,2,0,1,0
2,128.990,1,0,1,0
2,93.313,1,0,2,0
2,136.761,0,0,2,0
2,101.751,1,0,0,0
2,110.079,1,1,0,0
2,105.965,0,0,1,0
2,100.771,1,1,0,0
2,178.114,1,1,0,0
2,91.510,0,0,1,0
2,114.117,1,0,1,0
2,137.176,1,0,2,0
2,98.442,1,1,0,0
2,171.211,1,0,2,0
2,165.109,2,0,1,0
2,140.485,0,0,1,0
2,139.379,0,1,3,0
2,175.473,1,1,0,0
2,152.060,0,0,1,0
2,136.364,1,0,2,0
2,175.213,0,0,0,0
2,176.133,0,1,0,0
2,176.452,1,0,1,0
2,99.017,1,0,1,0
2,115.560,0,0,1,0
2,145.364,2,0,1,0
4,-7.617,1,0,1,0
4,-27.338,2,0,0,0
4,-40.825,0,0,2,0
4,-41.460,2,0,2,0
4,-84.316,1,0,1,0
4,-41.765,1,0,0,0
4,-67.682,0,1,1,0
4,-55.048,1,0,1,0
4,-29.609,1,0,1,0
4,-68.155,1,1,2,0
4,-44.574,1,1,1,0
4,-64.454,0,0,1,0
4,-74.138,0,0,2,0
4,-58.699,1,0,1,0
4,-77.533,1,0,1,0
4,-13.086,1,0,1,0
4,-16.597,2,0,1,0
4,-27.978,1,0,1,0
4,-60.630,2,1,1,0
4,-78.845,1,1,1,0
4,-55.601,1,0,1,0
4,-45.173,1,0,2,0
4,-39.125,2,0,1,0
4,-57.675,1,0,0,0
4,-36.968,2,0,1,0
4,-68.055,0,0,2,1
4,-67.463,0,0,1,0
4,-29.559,2,1,1,0
4,-39.155,0,1,0,0
4,-42.250,1,0,0,0
4,-58.855,1,0,1,0
4,-26.129,1,1,0,0
4,-67.647,0,0,1,0
4,-6.115,1,0,1,0
4,-44.771,1,0,1,0
4,-79.042,0,1,1,0
4,-35.058,1,0,1,0
4,-53.122,2,0,1,0
4,-49.900,0,0,2,0
4,-75.749,2,0,1,0
4,-88.558,1,0,1,0
4,-80.531,3,0,2,0
4,-49.943,0,0,2,0
4,-55.101,0,1,1,0
4,-21.300,1,0,1,0
4,-15.887,2,0,0,0
4,-23.912,1,0,1,0
4,-62.915,1,1,1,0
4,-74.204,2,0,0,0
4,-86.306,3,1,0,0
4,-27.483,0,0,2,1
4,-22.126,1,1,0,0
4,-12.648,0,1,1,0
4,-74.402,3,0,0,0
4,-55.106,1,0,0,0
4,-32.279,2,0,0,0
4,-34.754,0,0,1,0
4,-41.223,2,0,2,0
4,-27.962,1,1,1,0
4,-7.848,1,1,0,0
4,-44.236,1,1,4,0
4,-34.335,1,0,1,0
4,-74.055,2,0,1,0
4,-37.920,1,1,0,0
4,-55.987,0,1,0,0
4,-83.792,2,0,1,0
4,-85.819,0,1,1,0
4,-59.306,1,1,2,0
4,-52.567,1,0,3,0
4,-33.609,1,0,1,0
4,-16.013,1,0,2,0
4,-63.870,0,0,0,0
4,-4.803,1,1,1,0
4,-15.811,1,0,1,0
4,-54.720,0,0,1,0
4,-51.927,1,0,0,1
4,-34.193,2,0,2,0
4,-13.836,0,0,1,0
4,-39.791,0,1,2,0
4,-13.003,0,0,0,0
4,-86.437,3,1,0,0
4,-73.616,1,0,3,0
4,-47.386,1,1,1,0
4,-50.679,1,0,1,0
